pregunta,respuesta
betty where are you,I am right here 
dear betty guess what,you are getting a dog
huh no,you are getting married
what no,okay i cannot guess
look at this,it is a check for 100 it is my prize from a writing contest
you are a winner thats great news thanks betty,what can i do with the money i know i know
you can give it to me you are funny,but i do not think so
maybe you can buy stock i do not know anything about the stock,market dear i do not either
i know i can put the money in a bank account,you can put it in my bank account betty
i can save the money in my account i know I am just kidding,hey i have an idea
lets go to the diner i can buy you lunch,okay goodbye come back soon
we are closed finally,are you glad i really am
is this your wallet,no did a customer forget it
i do not know maybe there is a lot of money inside,maybe the owners name is inside right
is there id or a credit card yes it says,maxwell maxwell
only mom calls me maxwell hey thats my wallet i found it,can i borrow your credit card you cannot use my credit card it has my signature
on it max,you have four credit cards in your wallet do you use them all yes why
are you in debt max is in debt no I am not I am careful,when i charge things maybe i can get a credit card
um a debit card is a better choice for you,why is a debit card better than a credit card using a debit card is like using
cash yes the money comes from your bank,account right away that way you do not spend more money than you have
so i will not go into debt thats right,and you do not pay interest wow
you are helping me manage my money thanks you are still young,this is a great time to learn how to manage your money
i agree the earlier you start the better max,who is the little girl in this picture thats sarah
really thats so sweet i keep all my treasures in my wallet my money my,credit cards and my little sister ah
renee is in the diner with simons brother rich,he has come from the big city to visit his little brother
simon comes in to pick up renee after work,he is surprised to see rich there rich gives simon a big hug
rich has a card and gifts for him you are,giving me more gifts to help me plan my finances
thank you rich you are welcome,one day you will be rich like me
i do not want to be rich so,what is this card it is a cash card
they are popular in the city people say they are the new debit cards,how do you use it you scan the card when you pay for
something then the money is taken from the card,how much money is on this card i put five 500 on this card for you thats
very generous rich,this card is useless in small town we do not have any cash card machines
use it when you visit me in the big city rich,you boys must be hungry let me get you some chocolate cake
you have a great life yes i do,she has better than all the money in the world
yeah,good morning max how are you I am great
you are happy this morning you are right I am very happy this morning,why i love spring
flowers are beautiful the birds are singing,but max spring is not here yet i know but the weather is getting warmer
no more winter hey,lets not work today get simon and sarah
we can have a picnic thats a fun idea but we cannot close a,diner today what about our customers they can join us at the park
no max we are spring cleaning today too remember,yeah
hey we are closing early this saturday lets,have a picnic then great idea the weather is still a little cold for a
picnic but we can still have fun yes i can cook,and clean lets not clean at our picnic no lets clean now
okay i can clean the kitchen,thanks hey
look at our daily special what is it,spring rolls hey max do you have any special plans
for sunday not really,ill probably just relax sunday is my day off you know i know but
sunday is also easter this sunday is easter,no do not you like easter
it is a great holiday i just remembered something,I am cooking the easter breakfast at church
you are cooking on your day off I am sorry max,I am not if max is cooking then breakfast will be
great I am looking forward to it already,I am looking forward to small towns easter activities in the afternoon
the parade the easter egg hunt the easter egg hunt no whats wrong i am,supposed to boil 200 eggs and sarah is supposed to help decorate
them so,she does not know yet this card says
you are one in a million that is really sweet,can i give this to jim whos jim
no one he must be someone,maybe he has even someone special sarah
is jim your special someone max no,jim is just a friend he has not my boyfriend
we are trying to choose a valentines day card for sarahs friend,let me help you okay but
be nice I am always nice,this one is cute lets be friends to the end
that is cute what does it say on the inside,i love you sounds good
what no,i do not love jim i like jim he has my friend
lets keep looking is he your sweetheart this card says,hello sweetheart max
i found one it has a sweet message,what does it say does it say i have a crush on you
no it says,thank you for being my friend thats all thats all
thats not very romantic i know i like it,it is perfect and i can write my own special message
your friend sarah,okay I am done
good jim will appreciate your card read it to us,no it is personal
but I am your brother and you are a good brother thanks,i care about you sarah i want you to know that thank you max you are sweet
i know so,will you read the card now max
you make me smile thats better than making you cry,i might cry you two are so sweet to each other
let me give you a hug uh thanks,max you can give someone a hug too
who your special,someone what are you talking about i do not have a special someone
well you do have a crush on a girl,she always gets the cheese omelette lets not talk about that it is personal
simon betty you are two of my favorite people,hugh you say that to everyone
but you are how are you hugh I am super thank you,how about you I am doing well thanks
great i have something perfect for you,phew you say that all the time what are you selling today
I am selling this i love it,what do you think it is
a heart it is a heart with,arms it is a heart
hug heart hug it is perfect for valentines day,how many do you want sorry hugh
i do not want any what,what about you simon you must want one for renee
I am sorry hugh it is not the perfect gift for her come,on you two let me give you a hug
no no thats okay,maybe max wants one yes
max likes heart hugs you are right,goodbye this is delicious
macaroni and cheese is one of my favorite dishes,i know I am glad because it is easy to make
i cannot believe you cooked this dinner and max even let you use his kitchen,well he knows we celebrated our first valentines day here
the diner is a special place for us simon i fall in love with you more,every day thats what marriage is about i agree
do you remember our first valentines day together of course,do you remember the poem i wrote you you wrote me a poem
you do not remember I am just kidding of course i remember,we were here at the diner and you read the poem on the stage
i was nervous and cute ill never forget that night,is that max in a bunny costume yes this picture was taken a year ago
max and i went to the sweet home orphanage on easter,thats great it was fun
we celebrated easter with the children we gave them easter baskets filled with,candies and cookies they love them it is wonderful that you are going again
this year yes I am excited I am writing letters to,the children i hope theyll be encouraged
you are tired yeah,max and i stayed up late decorating eggs for the easter egg hunt
go to bed early tonight i will,what are you and simon doing for easter we are going to the easter service at
church and then joining the towns activities,fun but be careful during the easter egg
hunt max and i were so tired last night that,we forgot to boil some of the eggs no
max simon told me about your idea i love it,so you guys will go sure we can go on sunday when the diner is closed great
lets leave at 8 oclock thats early,yes i like to get an early start when i go
to the city okay do you want to take two cars or one,lets take one car parking in the city is expensive
okay we can take our car,well pick you up at your place at eight oclock great hey
do you guys like indian food i do not know is it good,it is delicious do you want to try it i know a great restaurant in the city i
can make reservations for us okay that sounds great,I am really looking forward to this weekend me too
betty is sorting mail at the post office she sees an envelope with her name on it,she opens it it is a birthday card
when she opens the cart she hears music betty closes the card,betty opens the card again the music starts again
betty laughs and dances to the music,hi betty nice music
thanks my nephew sent me this musical birthday card,is not it fun it says
leap for joy it is your birthday,happy leap year birthday thats great
so are you excited for your birthday,tomorrow yes I am very excited I am thinking about
getting engaged what,really no
not really but i could get engaged you know,how do you know someone who wants to propose
to you no,but i could propose to someone thats true some women do propose to men
they do now but years ago in great britain and,ireland women could only propose marriage on february 29th
really thats interesting,yes and you know what else
what the man couldnt say no what if he did,then hed have to give the woman a gift sounds like a perfect day for women
yes too bad it only came once every four years,the first one familiar right
this one is pronounced cosmetic cosmetic remember,s here so z okay
cosmetic now cosmetic,you know things like lipstick or foundation concealer or eyeliner
they are used to put on your face to make you to be more,beautiful or attractive you know just like put on a makeup so you have to use
cosmetics cosmetic,cosmetic for number two i think you know this one
you know what i mean is you know the meaning of the word right the popular,styles of hair or clothes or anything but remember do not pronounce a fashion
it is not fashion it is actually a faction,fashion for number three
um this one very familiar,um mosquito
mosquito you know when you are sleeping the mosquitoes,can bite you and makes you hurt okay
so mosquito,remember s here mosquito not more sweet dog
mosquito mosquito or you can even pronounce,mosquito for
number four this one is not that,this one b this b here is silent so we just pronounce
that that you know when you are in depth that,means you owe somebody
you know the money or things like that,that you owe somebody something um
now for number five recommend,this one is not very common or recommend okay it is recommend
recommend recommend that means to,introduce or to tell somebody something is
good or useful or suitable to do or it can also,mean that to advise somebody to do something
recommend recommend for number six,this one please do not pronounce so much even though this one here is
just like watch or catch or teach right but this one is pronounced summer,stomach tell me the reason why ill tell you the
reason why well i do not know stomach,okay so just remember not that much no stomach
okay stomach,um stomach is actually an organ inside your body where the food is contained
stomach for,number seven um
this one is marriage remember,g e here so we have to pronounce marriage not mary h okay marriage
marriage is actually the legal relationship,um between a husband and a wife
marriage for number eight,um you know this one right uh but do not pronounce finance or phoenix
is finance,finance and remember ce here is s
finance finance um,threat second syllable or you can even stress first syllable
finance finance or you can pronounce,finance f here for finance but i usually
